#STN       LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text      deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46073    55.008 -172.012 2024 10 18 23 00 280   5.0   6.0   MM  MM   MM  MM 1024.4  +0.0    MM   6.3    MM   MM     MM
46075    53.969 -160.794 2024 10 18 23 00  MM  10.0  12.0   MM  MM   MM  MM 1015.2  +0.5    MM   8.4    MM   MM     MM
46076    59.508 -148.005 2024 10 18 23 00 350   8.0  10.0   MM  MM   MM  MM  999.2  -0.9    MM   9.7    MM   MM     MM
46077    57.869 -154.211 2024 10 18 22 50 200   3.0   4.0  0.7   6  4.8 233 1006.4  -1.1   4.2   8.0    MM   MM     MM
46078    55.561 -152.599 2024 10 18 23 00 330   7.0  10.0   MM  MM   MM  MM 1004.5  -1.0   5.3   9.4   0.3   MM     MM
46080    57.910 -150.129 2024 10 18 23 00 330  10.0  13.0   MM  MM   MM  MM 1001.6  -1.0   4.6   8.7  -5.1   MM     MM
46081    60.802 -148.283 2024 10 18 22 50 270  10.0  12.0  0.3   2  2.5 265 1000.7  -1.3   2.4    MM  -7.8   MM     MM
46084    56.614 -136.040 2024 10 18 23 00 140  10.0  12.0   MM  MM   MM  MM  994.6  -1.0   8.3  10.8   6.2   MM     MM
46086    32.499 -118.052 2024 10 18 23 00 290   7.0   9.0   MM  MM   MM  MM 1012.5  -0.8  19.3  19.6  15.1   MM     MM
46087    48.493 -124.727 2024 10 18 23 00 170  14.0  18.0   MM  MM   MM  MM 1012.3  -4.6  11.8    MM  10.4   MM     MM
46088    48.332 -123.179 2024 10 18 23 00 120  10.0  12.0   MM  MM   MM  MM 1013.8  -3.9  11.1   9.8   7.2   MM     MM
46092    36.751 -122.029 2024 10 18 22 11 280   5.0    MM   MM  MM   MM  MM 1017.4  -0.9  14.4  13.7    MM   MM     MM
46097    44.639 -124.304 2024 10 18 21 50 160   6.0    MM   MM  MM   MM  MM 1024.0    MM  12.3  11.7    MM   MM     MM
46098    44.378 -124.947 2024 10 18 21 40 180   8.0    MM   MM  MM   MM  MM 1023.3    MM  14.2  15.8    MM   MM     MM
46099    46.988 -124.567 2024 10 18 20 50 170  10.0    MM   MM  MM   MM  MM 1017.9    MM  11.4  11.9    MM   MM     MM
46100    46.851 -124.964 2024 10 18 22 20 190  12.0    MM   MM  MM   MM 219 1015.8    MM  13.4  13.9    MM   MM     MM
46108    59.598 -151.828 2024 10 18 22 30  MM    MM    MM  0.8   4  3.9 356     MM    MM    MM   9.0    MM   MM     MM
46121    47.280 -122.730 2024 10 18 21 40 190   1.0    MM   MM  MM   MM  MM     MM    MM  11.0    MM   8.2   MM     MM
46125    47.907 -122.627 2024 10 18 21 30 180  12.0    MM   MM  MM   MM  MM     MM    MM  10.6    MM   7.6   MM     MM
46128    43.292 -124.538 2024 10 18 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  11.8    MM   MM     MM
46131    49.910 -124.980 2024 10 18 23 00  70  13.0  15.0  2.0   6   MM  MM 1011.5  -3.5   9.5  10.3    MM   MM     MM
46132    49.780 -127.890 2024 10 18 23 00 230  10.0  13.0  4.2   9   MM  MM 1004.5  +1.1  14.8  13.0    MM   MM     MM
46145    54.370 -132.420 2024 10 18 23 00  30   9.0  11.0  1.6   5   MM  MM  994.1  +1.4   8.2  10.6    MM   MM     MM
46146    49.340 -123.730 2024 10 18 23 00  80  14.0  18.0  1.6   5   MM  MM 1014.5  -3.4   9.5  10.7    MM   MM     MM
46147    51.830 -131.220 2024 10 18 23 00 250  12.0  15.0  4.7   9   MM  MM  995.1  +1.7  11.1  10.1    MM   MM     MM
46181    53.830 -128.830 2024 10 18 23 00  30   8.0   9.0  0.3   2   MM  MM  996.9  -1.4   5.3   9.1    MM   MM     MM
46183    53.620 -131.100 2024 10 18 23 00 270   9.0  11.0  3.3  10   MM  MM  991.6  +2.3   9.7  10.5    MM   MM     MM
46184    53.920 -138.850 2024 10 18 22 00  MM    MM    MM  2.3   8   MM  MM  997.3  -0.0   9.7  10.8    MM   MM     MM
46185    52.420 -129.790 2024 10 18 23 00 200   8.0  10.0  5.1  12   MM  MM  994.5  +1.5  11.7  10.9    MM   MM     MM
46204    51.380 -128.770 2024 10 18 23 00 120  13.0  15.0  3.9   9   MM  MM  999.0  +0.5  10.7  11.3    MM   MM     MM
46205    54.180 -134.320 2024 10 18 23 00 100   3.0   4.0  3.0   8   MM  MM  995.6  +2.2   9.0  11.4    MM   MM     MM
46206    48.840 -126.000 2024 10 18 23 00 210  12.0  14.0  4.2   8   MM  MM 1008.3  -2.5  13.9  10.0    MM   MM     MM
46207    50.870 -129.920 2024 10 18 23 00 230  11.0  14.0  4.8   9   MM  MM  998.2  +1.1  15.6  12.9    MM   MM     MM
46208    52.520 -132.690 2024 10 18 23 00 290  12.0  15.0  3.4   9   MM  MM  994.4  +4.0  11.1  11.6    MM   MM     MM
46211    46.857 -124.243 2024 10 18 22 56  MM    MM    MM  2.8   7  5.5 213     MM    MM    MM  12.7    MM   MM     MM
46213    40.292 -124.748 2024 10 18 23 00  MM    MM    MM  1.9  11  5.8 307     MM    MM  13.6  12.5    MM   MM     MM
46214    37.937 -123.463 2024 10 18 22 56  MM    MM    MM  2.5  11  7.4 310     MM    MM    MM  12.1    MM   MM     MM
46215    35.204 -120.859 2024 10 18 22 56  MM    MM    MM  1.8  10  7.4 285     MM    MM    MM  16.1    MM   MM     MM
46218    34.452 -120.780 2024 10 18 22 56  MM    MM    MM  2.6  11  7.3 316     MM    MM    MM  15.5    MM   MM     MM
46219    33.226 -119.891 2024 10 18 22 56  MM    MM    MM  2.4  10  7.9 317     MM    MM  17.8  17.1    MM   MM     MM
46221    33.860 -118.641 2024 10 18 22 56  MM    MM    MM  0.9  10  4.5 257     MM    MM    MM  18.3    MM   MM     MM
46222    33.618 -118.317 2024 10 18 22 56  MM    MM    MM  0.8  13  5.1 235     MM    MM    MM  18.9    MM   MM     MM
46224    33.178 -117.472 2024 10 18 22 26  MM    MM    MM  0.9  13  6.3 190     MM    MM    MM  18.6    MM   MM     MM
46225    32.933 -117.391 2024 10 18 22 56  MM    MM    MM  1.0  13  6.3 204     MM    MM    MM  18.5    MM   MM     MM
46232    32.517 -117.425 2024 10 18 22 56  MM    MM    MM  1.4  11  7.6 301     MM    MM    MM    MM    MM   MM     MM
46235    32.570 -117.169 2024 10 18 22 56  MM    MM    MM  1.2   9  6.7 281     MM    MM    MM  16.8    MM   MM     MM
46237    37.788 -122.634 2024 10 18 23 00  MM    MM    MM  1.6  12  6.0 283     MM    MM  14.8  13.6    MM   MM     MM
46239    36.335 -122.104 2024 10 18 23 00  MM    MM    MM  2.4   9  6.9 314     MM    MM  14.2  12.2    MM   MM     MM
46240    36.626 -121.907 2024 10 18 22 56  MM    MM    MM  0.9  11  7.2 345     MM    MM    MM  14.6    MM   MM     MM
46243    46.214 -124.126 2024 10 18 22 56  MM    MM    MM  2.4   6  5.3 206     MM    MM    MM  13.2    MM   MM     MM
46246    50.042 -145.170 2024 10 18 22 56  MM    MM    MM  2.0   9  7.1 219     MM    MM    MM  11.0    MM   MM     MM
46248    46.133 -124.640 2024 10 18 22 56  MM    MM    MM  3.0   7  5.8 199     MM    MM    MM  13.6    MM   MM     MM
46251    33.769 -119.565 2024 10 18 22 56  MM    MM    MM  1.2  11  6.7 286     MM    MM  18.5  17.2    MM   MM     MM
46253    33.576 -118.181 2024 10 18 22 56  MM    MM    MM  0.7  13  5.3 177     MM    MM    MM  19.1    MM   MM     MM
46254    32.868 -117.267 2024 10 18 22 56  MM    MM    MM  0.9   7  5.4 281     MM    MM    MM  18.9    MM   MM     MM
46256    33.700 -118.201 2024 10 18 22 56  MM    MM    MM  0.9  13  5.7 202     MM    MM    MM  18.5    MM   MM     MM
46258    32.749 -117.502 2024 10 18 22 56  MM    MM    MM  1.3  13  7.1 190     MM    MM    MM  19.0    MM   MM     MM
46259    34.767 -121.498 2024 10 18 22 56  MM    MM    MM  2.6  11  7.2 306     MM    MM    MM  16.1    MM   MM     MM
46266    32.957 -117.279 2024 10 18 22 56  MM    MM    MM  0.9  13  5.3 243     MM    MM    MM  18.8    MM   MM     MM
46267    48.173 -123.607 2024 10 18 22 30  MM    MM    MM  0.3   9  3.8 298     MM    MM   9.1   9.3    MM   MM     MM
46268    34.022 -118.578 2024 10 18 23 00  MM    MM    MM  0.8  13  3.9 208     MM    MM  19.9  17.1    MM   MM     MM
46273    32.930 -117.274 2024 10 18 22 56  MM    MM    MM  0.8  13  5.6 243     MM    MM    MM  18.8    MM   MM     MM
46274    33.062 -117.314 2024 10 18 22 56  MM    MM    MM  0.8  13  5.4 235     MM    MM    MM  19.1    MM   MM     MM
46275    33.291 -117.501 2024 10 18 23 00  MM    MM    MM  0.8  13  5.7 212     MM    MM  19.5  17.9    MM   MM     MM
46276    36.845 -121.825 2024 10 18 22 56  MM    MM    MM  0.9   9  6.0 260     MM    MM  15.9  14.4    MM   MM     MM
46277    33.336 -117.659 2024 10 18 23 00  MM    MM    MM   MM  MM   MM  MM     MM    MM  19.9  19.4    MM   MM     MM
46278    45.561 -123.991 2024 10 18 23 00  MM    MM    MM  1.6  10  5.4 284     MM    MM  13.7  12.4    MM   MM     MM
46279    36.838 -121.820 2024 10 18 22 56  MM    MM    MM  0.9  11  5.8 259     MM    MM  15.9  14.4    MM   MM     MM
46280    44.575 -124.234 2024 10 18 22 26  MM    MM    MM  1.3  10  6.5 295     MM    MM    MM  12.5    MM   MM     MM
46281    44.559 -124.233 2024 10 18 22 56  MM    MM    MM  1.2  10  6.4 296     MM    MM    MM  12.6    MM   MM     MM
46282    36.951 -121.921 2024 10 18 23 00  MM    MM    MM  0.5  13  5.2 226     MM    MM    MM  14.2    MM   MM     MM
46304    49.300 -123.360 2024 10 18 23 00  80  12.0  15.0  0.7   3   MM  MM 1016.6  -3.5   9.2  11.6    MM   MM     MM
51000    23.528 -153.792 2024 10 18 23 00 100   5.0   7.0   MM  MM   MM  MM 1016.5  -1.8  26.1  26.8  21.7   MM     MM
51001    24.451 -162.008 2024 10 18 23 00 130   4.0   6.0   MM  MM   MM  MM 1016.8  -1.4  26.4  27.3  21.5   MM     MM
51002    17.042 -157.746 2024 10 18 23 00  70   8.0  10.0   MM  MM   MM  MM 1014.0  -1.4  26.9    MM  25.6   MM     MM
51003    19.196 -160.639 2024 10 18 23 00  90   6.0   8.0   MM  MM   MM  MM 1014.9  -2.2  26.9    MM  23.7   MM     MM
51004    17.538 -152.230 2024 10 18 23 00  60   7.0   9.0   MM  MM   MM  MM     MM    MM  26.8  27.1  21.3   MM     MM
51101    24.359 -162.081 2024 10 18 23 00 110   5.0   6.0   MM  MM   MM  MM 1017.3  -1.4  26.5  27.3    MM   MM     MM
51201    21.671 -158.118 2024 10 18 22 46  MM    MM    MM  1.0  11   MM  MM     MM    MM    MM  27.1    MM   MM     MM
51202    21.417 -157.680 2024 10 18 22 56  MM    MM    MM  1.4   9  5.7  83     MM    MM    MM  27.0    MM   MM     MM
51205    21.018 -156.425 2024 10 18 22 56  MM    MM    MM  1.7   9  5.9  70     MM    MM    MM  26.1    MM   MM     MM
51206    19.779 -154.970 2024 10 18 22 56  MM    MM    MM  2.0   9  7.0 120     MM    MM    MM  26.8    MM   MM     MM
51207    21.477 -157.752 2024 10 18 22 56  MM    MM    MM  1.2   8  5.6  63     MM    MM    MM  27.0    MM   MM     MM
51208    22.285 -159.574 2024 10 18 22 56  MM    MM    MM  1.4   8  6.3  78     MM    MM    MM  25.9    MM   MM     MM
51209   -14.273 -170.501 2024 10 18 22 56  MM    MM    MM  2.0  14  7.8  23     MM    MM    MM  28.2    MM   MM     MM
51210    21.477 -157.757 2024 10 18 22 56  MM    MM    MM  1.2   9  5.6  49     MM    MM    MM  27.2    MM   MM     MM
51211    21.297 -157.959 2024 10 18 23 00  MM    MM    MM  1.0   5  4.4 133     MM    MM    MM  27.2    MM   MM     MM
51212    21.323 -158.149 2024 10 18 23 00  MM    MM    MM  1.0  11  5.3 221     MM    MM  28.0  27.3    MM   MM     MM
51213    20.750 -157.002 2024 10 18 22 56  MM    MM    MM  0.8  12  5.8 197     MM    MM    MM  28.0    MM   MM     MM
51214   -14.296 -170.875 2024 10 18 23 00  MM    MM    MM  1.8  15  7.6 353     MM    MM  28.4  28.3    MM   MM     MM
51WH0    22.000 -157.000 2024 10 18 22 30 120   6.0    MM   MM  MM   MM  MM 1016.8    MM    MM  26.8    MM   MM     MM
52202    13.683  144.816 2024 10 18 22 56  MM    MM    MM  1.8  12  7.4  35     MM    MM    MM  29.9    MM   MM     MM
52211    15.268  145.662 2024 10 18 23 00  MM    MM    MM  2.1  11  7.3  38     MM    MM  26.9  29.4    MM   MM     MM
52212     7.630  134.671 2024 10 18 23 00  MM    MM    MM  1.3  12  8.8  35     MM    MM  28.1  30.7    MM   MM     MM
52213     7.081  158.244 2024 10 18 23 00  MM    MM    MM  1.9  13  7.3  17     MM    MM  29.8  30.4    MM   MM     MM
52215     5.241  163.001 2024 10 18 22 30  MM    MM    MM  1.2   9   MM  MM     MM    MM  30.0  30.6    MM   MM     MM
62030    50.250   -4.217 2024 10 18 22 00 200  10.3    MM   MM  MM   MM  MM 1007.6    MM  15.6    MM  14.8   MM     MM
62050    50.000   -4.400 2024 10 18 22 00 210  11.3    MM   MM  MM   MM  MM 1007.9    MM  15.5    MM  14.8   MM     MM
62103    49.900   -2.900 2024 10 18 22 00 200  11.3    MM   MM  MM   MM  MM 1009.9    MM  16.0  15.9  14.5   MM     MM
62105    55.410  -11.810 2024 10 18 22 00 250  15.4    MM   MM  MM   MM  MM  992.4    MM  13.0  13.0   9.0   MM     MM
62107    50.102   -6.100 2024 10 18 22 00 260   5.1    MM  2.2  MM    8  MM 1007.0    MM  13.9  13.9  12.9    5     MM
62114    58.300    0.000 2024 10 18 22 00 180  14.9    MM   MM  MM   MM  MM 1002.6  -0.2  11.6    MM    MM   MM     MM
62121    53.500    2.700 2024 10 18 22 00 190   6.7    MM   MM  MM   MM  MM 1012.1  -0.8  14.7    MM  12.2   MM     MM
62124    53.600   -3.600 2024 10 18 22 00 240    MM    MM   MM  MM   MM  MM 1004.1  +0.1  13.6    MM  11.9   MM     MM
62127    54.000    0.700 2024 10 18 22 00 190    MM    MM  0.9  MM   MM  MM 1008.8  -1.6  13.5    MM  10.8   11     MM
62130    58.700    1.300 2024 10 18 22 00 160    MM    MM  2.2  MM   MM  MM 1003.1  -2.1  11.7    MM  10.4    5     MM
62144    53.400    1.700 2024 10 18 22 00 180   7.7    MM  0.9  MM   MM  MM 1010.6  -1.0  13.5    MM  11.4   11     MM
62145    53.102    2.800 2024 10 18 22 00 200   7.7    MM  0.5  MM   MM  MM 1012.0  -0.9  15.0    MM  12.8   11     MM
62146    57.200    2.100 2024 10 18 22 00 160  10.8    MM  1.5  MM   MM  MM 1007.3  -0.9  11.8    MM  11.7    5     MM
62148    53.600    1.500 2024 10 18 22 00 180   7.7    MM   MM  MM   MM  MM 1010.5  -0.9  13.6    MM  11.4   MM     MM
62149    53.700    1.100 2024 10 18 22 00 170   9.8    MM  0.6  MM   MM  MM 1009.7  -1.3  13.7    MM  11.5   11     MM
62163    47.550   -8.470 2024 10 18 22 00 270  10.3    MM   MM  MM   MM  MM 1010.9    MM  16.4  16.8  14.0   MM     MM
62164    57.200    0.800 2024 10 18 22 00 160  11.3    MM   MM  MM   MM  MM 1005.0  -1.2    MM    MM    MM    5     MM
62165    54.000    1.100 2024 10 18 22 00 180   8.2    MM  0.7  MM    3  MM 1009.1  -1.4  13.2    MM    MM   11     MM
62170    51.240    2.000 2024 10 18 22 00 220   4.6    MM  0.3  MM    4  MM 1013.2    MM  15.1  16.0  11.4   MM     MM
62304    51.102    1.800 2024 10 18 22 00 210   6.7    MM  0.3  MM    4  MM 1013.0    MM  15.6  16.0  11.3   11     MM
62305    50.400    0.000 2024 10 18 22 00  MM    MM    MM  0.9  MM    7  MM 1012.2    MM  16.3  16.1  11.4   11     MM
62442    49.000  -16.500 2024 10 18 22 00 290   9.3    MM   MM  MM   MM  MM 1009.4    MM  13.9  15.3   9.3   MM     MM
63110    59.500    1.500 2024 10 18 22 00 180  13.9    MM  2.8  MM   MM  MM 1004.7  -1.1  13.5    MM  12.3    5     MM
63112    61.100    1.000 2024 10 18 22 00 170  16.5    MM  3.5  MM   MM  MM 1001.3  -1.0  12.2    MM   9.3    5     MM
63115    61.600    1.300 2024 10 18 22 00 150  15.4    MM  4.0  MM   MM  MM 1001.3  -1.2    MM    MM   9.9    5     MM
64045    59.150  -11.790 2024 10 18 22 00  MM    MM    MM   MM  MM   MM  MM  980.1    MM  11.8  11.8   8.3   MM     MM
AAMC1    37.772 -122.300 2024 10 18 22 48 250   3.6   5.7   MM  MM   MM  MM 1018.6    MM  19.7  17.9    MM   MM     MM
ABYA2    58.381 -134.646 2024 10 18 22 52  MM   0.0   2.1   MM  MM   MM  MM  998.1    MM   2.9    MM   1.2   MM     MM
ACXS1    32.559  -80.454 2024 10 18 22 45  MM   0.0    MM   MM  MM   MM  MM 1029.0    MM  17.0    MM   5.1   MM     MM
ACYN4    39.357  -74.418 2024 10 18 22 48  MM    MM    MM   MM  MM   MM  MM 1029.7    MM  16.1  16.7    MM   MM     MM
ADKA2    51.861 -176.637 2024 10 18 22 48 170   4.1   5.1   MM  MM   MM  MM 1024.6    MM   6.2   6.9    MM   MM     MM
AGCM4    42.621  -82.527 2024 10 18 22 48  MM    MM    MM   MM  MM   MM  MM 1031.2    MM  14.1  15.0    MM   MM     MM
AGXC1    33.716 -118.246 2024 10 18 22 36 220   8.8  10.8   MM  MM   MM  MM     MM    MM  19.9    MM    MM   MM     MM
AJXA2    58.287 -134.398 2024 10 18 23 12 320   4.6   6.2   MM  MM   MM  MM  995.9    MM   3.3    MM   2.9   MM     MM
ALIA2    56.898 -154.247 2024 10 18 22 48 320   6.2   9.3   MM  MM   MM  MM 1006.4    MM   4.2   8.4    MM   MM     MM
ALXN6    44.331  -75.934 2024 10 18 22 48  MM    MM    MM   MM  MM   MM  MM 1032.0    MM    MM  15.7    MM   MM     MM
AMAA2    58.915 -151.952 2024 10 18 23 00 300   8.8  15.4   MM  MM   MM  MM 1004.6  -1.2   3.2    MM  -4.1   MM     MM
AMRL1    29.450  -91.338 2024 10 18 22 48  70   3.6   4.6   MM  MM   MM  MM 1025.4    MM  22.4  23.1    MM   MM     MM
ANMN6    42.018  -73.917 2024 10 18 22 30  MM   0.0    MM   MM  MM   MM  MM 1031.0    MM  15.1    MM   1.0   MM     MM
ANPT2    27.837  -97.039 2024 10 18 22 48  60   7.7   9.8   MM  MM   MM  MM 1018.9    MM  26.1    MM    MM   MM     MM
ANTA2    61.238 -149.890 2024 10 18 22 48 330   6.7   8.8   MM  MM   MM  MM 1005.2    MM   1.3   5.6    MM   MM     MM
ANVC1    38.915 -123.711 2024 10 18 22 48 300   2.6   6.2   MM  MM   MM  MM 1020.7    MM  14.9  11.4    MM   MM     MM
APAM2    38.983  -76.479 2024 10 18 22 48 340   0.5   1.0   MM  MM   MM  MM 1031.3    MM  15.3  18.7    MM   MM     MM
APCF1    29.724  -84.980 2024 10 18 22 48  50   4.1   5.7   MM  MM   MM  MM 1025.5    MM  22.2  20.7    MM   MM     MM
APMA2    61.239 -149.889 2024 10 18 23 14  MM   4.6   7.7   MM  MM   MM  MM     MM    MM   1.5    MM  -9.3   MM     MM
APNM4    45.060  -83.424 2024 10 18 23 10 180   5.7   5.7   MM  MM   MM  MM     MM    MM  14.8    MM    MM   MM     MM
APRP7    13.444  144.657 2024 10 18 22 48 130   3.6   4.6   MM  MM   MM  MM 1009.3    MM  28.3  29.0    MM   MM     MM
APXA2    59.770 -151.868 2024 10 18 22 45  50   3.6    MM   MM  MM   MM  MM 1006.0    MM   2.0    MM -10.8   MM     MM
APXF1    29.769  -84.881 2024 10 18 23 00  70   3.1    MM   MM  MM   MM  MM 1027.0  +1.0  22.5    MM  10.2   MM     MM
ASBO1    41.918  -80.796 2024 10 18 23 00  50   1.5   2.1   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
ATGM1    44.392  -68.204 2024 10 18 22 48  MM   0.0   0.0   MM  MM   MM  MM 1030.3    MM   9.3  12.2    MM   MM     MM
ATKA2    52.232 -174.173 2024 10 18 22 48 130   0.5   0.5   MM  MM   MM  MM 1025.6    MM   5.5   7.3    MM   MM     MM
AUGA2    59.378 -153.348 2024 10 18 23 00 290   5.7   7.2   MM  MM   MM  MM 1007.8  -1.1   0.6    MM    MM   MM     MM
AWRT2    28.227  -96.796 2024 10 18 22 48  90   4.1   6.2   MM  MM   MM  MM 1019.4    MM  25.8  24.2    MM   MM     MM
BABT2    27.297  -97.405 2024 10 18 22 48  60   9.3  11.3   MM  MM   MM  MM 1018.6    MM  26.0  26.5    MM   MM     MM
BATN6    40.701  -74.014 2024 10 18 22 48  MM    MM    MM   MM  MM   MM  MM 1029.4    MM  18.3  16.9    MM   MM     MM
BAXC1    33.766 -118.240 2024 10 18 22 36 220   6.2   8.2   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
BBNF1    25.601  -80.306 2024 10 18 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.3    MM   MM     MM
BBSF1    25.472  -80.349 2024 10 18 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  23.9    MM   MM     MM
BDRN4    40.082  -74.870 2024 10 18 22 36  MM   0.0   0.0   MM  MM   MM  MM 1030.8    MM  17.4  16.4    MM   MM     MM
BDSP1    39.980  -75.079 2024 10 18 22 48  MM    MM    MM   MM  MM   MM  MM 1031.3    MM  18.4  17.6    MM   MM     MM
BDVF1    25.478  -80.989 2024 10 18 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  23.8    MM   MM   0.59
BEXA2    60.791 -161.749 2024 10 18 23 13 170   1.5   1.5   MM  MM   MM  MM     MM    MM  -0.8    MM  -2.7   MM     MM
BFTN7    34.717  -76.671 2024 10 18 22 48  30   2.1   2.6   MM  MM   MM  MM 1028.9    MM  17.4  18.9    MM   MM     MM
BHBM3    42.355  -71.050 2024 10 18 22 48  MM    MM    MM   MM  MM   MM  MM 1031.5    MM  12.9    MM    MM   MM     MM
BHRI3    41.646  -87.147 2024 10 18 22 40 200   2.1   3.1   MM  MM   MM  MM 1030.8    MM  19.1    MM    MM   MM     MM
BIGM4    46.827  -87.727 2024 10 18 22 40 190   1.5   3.1   MM  MM   MM  MM 1021.7    MM  20.1    MM    MM   MM     MM
BISM2    38.220  -76.039 2024 10 18 22 48 330   2.6   3.1   MM  MM   MM  MM 1031.4    MM  14.3  15.2    MM   MM     MM
BKBF1    30.192  -81.692 2024 10 18 22 48  20   6.2   8.8   MM  MM   MM  MM 1026.8    MM  19.5    MM    MM   MM     MM
BKTL1    30.190  -93.301 2024 10 18 22 48  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.4    MM   MM     MM
BKYF1    25.119  -80.834 2024 10 18 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  23.6    MM   MM  -0.56
BLIA2    60.839 -146.884 2024 10 18 23 00  20  13.9  16.0   MM  MM   MM  MM  998.8  -0.8   7.1    MM    MM   MM     MM
BLIF1    30.393  -81.523 2024 10 18 22 48  30   7.2  10.3   MM  MM   MM  MM 1027.0    MM  19.9    MM  15.9   MM     MM
BLTM2    39.267  -76.579 2024 10 18 22 48 330   1.5   2.6   MM  MM   MM  MM     MM    MM  19.2  19.9    MM   MM     MM
BLTM3    41.704  -71.174 2024 10 18 22 48  60   3.1   3.6   MM  MM   MM  MM 1031.7    MM  13.3    MM    MM   MM     MM
BMTW1    47.562 -122.626 2024 10 18 22 48  40   3.1   4.6   MM  MM   MM  MM 1021.3    MM  11.2    MM    MM   MM     MM
BNKF1    25.087  -80.519 2024 10 18 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.7    MM   MM  -0.59
BOBF1    25.027  -80.681 2024 10 18 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.6    MM   MM  -0.51
BRHC3    41.174  -73.181 2024 10 18 22 48 310   1.0   1.5   MM  MM   MM  MM 1029.7    MM  16.0  17.8    MM   MM     MM
BRND1    38.987  -75.113 2024 10 18 22 48 130   5.1   5.7   MM  MM   MM  MM 1031.7    MM  15.7    MM    MM   MM     MM
BSBM4    44.055  -86.514 2024 10 18 22 40 170   5.7   8.8   MM  MM   MM  MM 1030.8    MM  13.9    MM    MM   MM     MM
BSLM2    38.781  -76.708 2024 10 18 22 30 200   0.5    MM   MM  MM   MM  MM 1031.0    MM  15.1    MM   9.3   MM     MM
BUFN6    42.878  -78.890 2024 10 18 22 48 230   2.6   3.1   MM  MM   MM  MM 1032.4    MM  14.3  16.3   9.4   MM     MM
BURL1    28.906  -89.429 2024 10 18 23 00  50  11.8  12.4   MM  MM   MM  MM 1024.5  +0.5  22.4    MM  17.3   MM     MM
BUZM3    41.397  -71.033 2024 10 18 23 00  20   7.7   8.2   MM  MM   MM  MM 1031.6  +1.9  13.0    MM    MM   MM     MM
BWSF1    25.178  -80.438 2024 10 18 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.9    MM   MM   0.71
BYGL1    29.789  -90.420 2024 10 18 22 48  MM    MM    MM   MM  MM   MM  MM 1025.8    MM  21.3  21.7    MM   MM     MM
BZBM3    41.524  -70.671 2024 10 18 22 48  MM    MM    MM   MM  MM   MM  MM 1031.3    MM  10.8  15.3    MM   MM     MM
BZST2    26.067  -97.155 2024 10 18 22 48 100   8.8   9.8   MM  MM   MM  MM 1017.1    MM  26.8  27.8    MM   MM     MM
CAMM2    38.574  -76.069 2024 10 18 22 48 310   2.1   2.6   MM  MM   MM  MM 1031.8    MM  16.6  16.3    MM   MM     MM
CANF1    25.422  -80.942 2024 10 18 21 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.2    MM   MM   1.14
CAPL1    29.768  -93.343 2024 10 18 22 48 140   5.7   7.2   MM  MM   MM  MM 1024.3    MM  22.8  21.2    MM   MM     MM
CARL1    29.933  -90.135 2024 10 18 22 48  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.7    MM   MM     MM
CASM1    43.656  -70.246 2024 10 18 22 48 230   0.5   1.0   MM  MM   MM  MM 1030.4    MM  12.6  12.5    MM   MM     MM
CBLO1    41.981  -80.556 2024 10 18 23 00  80   1.0   1.5   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
CBRW3    45.198  -87.360 2024 10 18 22 40 120   4.1   7.2   MM  MM   MM  MM     MM    MM  15.1    MM    MM   MM     MM
CDEA2    56.001 -134.136 2024 10 18 22 22  70   2.6   6.2   MM  MM   MM  MM  996.2    MM   8.1    MM   3.1   MM     MM
CDXA2    56.001 -134.136 2024 10 18 23 12  60   2.6   5.1   MM  MM   MM  MM     MM    MM   7.4    MM   5.7   MM     MM
CECC1    41.746 -124.184 2024 10 18 22 48 340   4.1   6.2   MM  MM   MM  MM 1024.7    MM  14.9  11.8    MM   MM     MM
CFWM1    44.657  -67.205 2024 10 18 22 48  MM   0.0   1.0   MM  MM   MM  MM 1030.2    MM   7.3  11.2    MM   MM     MM
CHAO3    43.351 -124.337 2024 10 18 22 36 240   1.5   2.6   MM  MM   MM  MM 1024.5    MM    MM  15.8    MM   MM     MM
CHAV3    18.335  -64.920 2024 10 18 22 48 120   2.1   2.6   MM  MM   MM  MM 1012.6    MM  29.7  31.4    MM   MM     MM
